Date,Description,Amount,Balance
20260201,MONTHLY ACC FEE,-70.00,812.35
20260202,ACB CREDIT Carl Windley,1080.00,1892.35
20260202,ACB CREDIT pieter@domain.co.za,960.00,2852.35
20260204,ACB DEBIT TRF TO owner,-361.30,2491.05
20260204,ACB CREDIT Pinfo@MWEB.CO.ZA,960.00,3451.05
20260205,ACB DEBIT:EXTERNAL LIBERTY04855555550900A/P05FEB,-308.92,3142.13
20260205,ACB DEBIT:EXTERNAL LIBERTY0485555555500C/P05FEB,-308.92,2833.21
20260205,"TRANSACTION FEE ACB DEBIT:EXTERNAL(EFF:050226 AMT: 308,92-)",-19.00,2814.21
20260205,"TRANSACTION FEE ACB DEBIT:EXTERNAL(EFF:050226 AMT: 308,92-)",-19.00,2795.21
20260206,DIGITAL TRANSF DT 45502708-9550-7013 ABSA BANK cc,-1861.00,934.21
20260209,ACB CREDIT TRF FROM owner,1000.00,1934.21
20260210,DIGITAL TRANSF DT 45502708-9320-3013 ABSA BANK cc,-1000.00,934.21
20260218,ACB CREDIT customer,3200.00,4134.21
20260302,Consulting fees DIGITAL PAYMENT CR ABSA BANKs,-2164.40,1969.81
