Date,Description,Amount,Balance
20260302,Consulting fees DIGITAL PAYMENT CR ABSA BANKs,-2164.40,1969.81
20260302,DIGITAL TRANSF DT 4550-6767-3013 ABSA BANK cc,-1365.00,604.81
20260305,ACB DEBIT:EXTERNAL LIBERTY04855555550900A/P05FEB,-15.45,589.36
20260305,"TRANSACTION FEE ACB DEBIT:EXTERNAL(EFF:050326 AMT: 15,45-)",-19.00,570.36
20260309,ACB CREDIT debtor3,960.00,1530.36
20260310,ACB CREDIT dmain@gmail.com,3200.00,4730.36
20260311,DIGITAL TRANSF DT 4999-9999-4213 ABSA BANK cc,-4020.72,709.64
20260319,DIGITAL PAYMENT CR ABSA BANK user@gmail.com,960.00,1669.64
20260326,DIGITAL TRANSF DT 4557777-77777-3013 ABSA BANK cc,-1222.01,447.63
20260327,"TRANSACTION FEE ARCHIVE STMT ENQ (EFF:270666 AMT: 0,00 )",-10.00,437.63
